"","X","loan_amount_000s","preapproval_name","preapproval","action_taken_name","loan_approved","action_taken","applicant_race_name_1","applicant_race_1","applicant_race_name_2","applicant_race_2","applicant_race_name_3","applicant_race_3","applicant_race_name_4","applicant_race_4","applicant_race_name_5","applicant_race_5","co_applicant","co_applicant_race_name_1","co_applicant_race_1","co_applicant_race_name_2","co_applicant_race_2","co_applicant_race_name_3","co_applicant_race_3","co_applicant_race_name_4","co_applicant_race_4","co_applicant_race_name_5","co_applicant_race_5","applicant_sex_name","applicant_sex","co_applicant_sex_name","co_applicant_sex","applicant_income_000s","denial_reason_name_1","denial_reason_1","denial_reason_name_2","denial_reason_2","denial_reason_name_3","denial_reason_3","population","minority_population","hud_median_family_income","tract_to_msamd_income","number_of_owner_occupied_units","number_of_1_to_4_family_units"
"11",43460,170,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,43,"",NA,"",NA,"",NA,3798,19.1900005340576,62100,91.0599975585938,1171,1604
"12",76843,352,"Preapproval was not requested",2,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,111,"",NA,"",NA,"",NA,4778,16.4300003051758,78700,153.270004272461,1543,1732
"13",66611,223,"Not applicable",3,"Loan originated",TRUE,1,"Asian",2,"",NA,"",NA,"",NA,"",NA,TRUE,"Asian",2,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,52,"",NA,"",NA,"",NA,6178,91.3899993896484,73700,72.5899963378906,801,1747
"14",17910,7,"Preapproval was not requested",2,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,66,"Debt-to-income ratio",1,"",NA,"",NA,3536,6.17000007629395,60400,97.5999984741211,956,1406
"15",52501,303,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,411,"",NA,"",NA,"",NA,5962,10.75,84100,122.080001831055,2158,2408
"16",42861,100,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,38,"Credit history",3,"",NA,"",NA,4345,4.34999990463257,73900,110.120002746582,1293,1659
"17",155854,94,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,55,"",NA,"",NA,"",NA,4984,4.53000020980835,55800,143.639999389648,1776,2171
"18",31250,442,"Preapproval was not requested",2,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,116,"",NA,"",NA,"",NA,6281,58.0299987792969,75200,151.270004272461,1573,1899
"19",62469,1620,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,196,"Debt-to-income ratio",1,"Other",9,"",NA,2071,10.8199996948242,63200,194.690002441406,906,2014
"20",47207,50,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,24,"Debt-to-income ratio",1,"Employment history",2,"Credit history",3,4019,46.9300003051758,54200,69.1600036621094,937,1683
"21",118851,148,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,56,"",NA,"",NA,"",NA,7982,29.7000007629395,74600,104.720001220703,2028,2391
"22",139972,186,"Preapproval was not requested",2,"Loan originated",TRUE,1,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,64,"",NA,"",NA,"",NA,4061,85.0999984741211,57400,88.8600006103516,823,1441
"23",23245,86,"Preapproval was not requested",2,"Loan originated",TRUE,1,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,28,"",NA,"",NA,"",NA,3366,86.3600006103516,57400,89.3300018310547,785,1250
"24",140238,100,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,107,"",NA,"",NA,"",NA,5597,4.15999984741211,55200,92.7900009155273,1616,2317
"25",147350,72,"Not applicable",3,"Application denied by financial institution",FALSE,3,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,29,"",NA,"",NA,"",NA,2953,74.1600036621094,66900,53.0200004577637,266,916
"26",131327,48,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,51,"",NA,"",NA,"",NA,4165,18.9699993133545,47200,103.529998779297,1124,1751
"27",92532,10,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,80,"Debt-to-income ratio",1,"Other",9,"",NA,4794,5.46999979019165,74700,82.3099975585938,1329,1999
"28",158233,186,"Preapproval was not requested",2,"Loan originated",TRUE,1,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,TRUE,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,60,"",NA,"",NA,"",NA,5701,6.34999990463257,75200,94.9100036621094,1171,2044
"29",98524,149,"Preapproval was not requested",2,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,72,"Credit application incomplete",7,"",NA,"",NA,8204,18.7600002288818,59800,178.300003051758,1963,2351
"30",164186,134,"Preapproval was not requested",2,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,59,"",NA,"",NA,"",NA,7001,12.6300001144409,64600,82,2336,3368
"31",15305,112,"Not applicable",3,"Application denied by financial institution",FALSE,3,"Asian",2,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,41,"",NA,"",NA,"",NA,2122,10.6499996185303,82200,84.1800003051758,765,934
"32",37938,98,"Not applicable",3,"Application denied by financial institution",FALSE,3,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,71,"",NA,"",NA,"",NA,2757,96.0100021362305,90200,20.8199996948242,139,611
"33",165488,206,"Not applicable",3,"Loan originated",TRUE,1,"Asian",2,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,52,"",NA,"",NA,"",NA,6027,88.9000015258789,75200,71.2399978637695,923,1762
"34",15061,103,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,75,"Debt-to-income ratio",1,"Credit history",3,"",NA,3546,60.5499992370605,57400,71.120002746582,249,834
"35",70003,204,"Not applicable",3,"Loan originated",TRUE,1,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,TRUE,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,120,"",NA,"",NA,"",NA,2784,31.75,78700,85.1900024414062,686,883
"36",125182,176,"Not applicable",3,"Application approved but not accepted",TRUE,2,"Native Hawaiian or Other Pacific Islander",4,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,112,"",NA,"",NA,"",NA,5390,46.7900009155273,64400,69.370002746582,1070,1970
"37",140883,111,"Preapproval was not requested",2,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,40,"",NA,"",NA,"",NA,7032,4.07999992370605,60800,110.480003356934,2169,2601
"38",161501,177,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,53,"",NA,"",NA,"",NA,5581,12.9499998092651,75000,147.559997558594,1616,1775
"39",19683,55,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,45,"Debt-to-income ratio",1,"",NA,"",NA,3617,23.6100006103516,67900,163.600006103516,995,1248
"40",143477,176,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,184,"",NA,"",NA,"",NA,3303,23.4300003051758,50000,163.020004272461,966,4302
"41",128499,100,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,36,"",NA,"",NA,"",NA,7761,7.67999982833862,47800,93.1900024414062,1778,2951
"42",74777,108,"Not applicable",3,"Loan originated",TRUE,1,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,TRUE,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,"Female",2,"Female",2,84,"",NA,"",NA,"",NA,4845,99.3399963378906,50000,44.1599998474121,303,1265
"43",132310,50,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,46,"Credit history",3,"",NA,"",NA,7587,9.07999992370605,55100,90.1800003051758,2184,3107
"44",50285,144,"Not applicable",3,"Loan originated",TRUE,1,"Asian",2,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,75,"",NA,"",NA,"",NA,4611,32.0099983215332,77500,93.7399978637695,1084,1172
"45",90944,165,"Preapproval was not requested",2,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,186,"",NA,"",NA,"",NA,7245,8.30000019073486,75000,138.729995727539,1885,2100
"46",21684,197,"Preapproval was not requested",2,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,75,"",NA,"",NA,"",NA,9190,17.8099994659424,73400,119.629997253418,2356,3143
"47",16215,99,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,120,"",NA,"",NA,"",NA,3775,31.6800003051758,59800,169.729995727539,757,765
"48",118052,35,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,37,"",NA,"",NA,"",NA,7939,13.539999961853,54100,58.7999992370605,1552,3029
"49",133980,8,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,44,"",NA,"",NA,"",NA,3463,3.60999989509583,62500,107.680000305176,1193,1371
"50",69870,288,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,82,"",NA,"",NA,"",NA,5745,2.29999995231628,60800,101.650001525879,2045,2471
"51",60117,320,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,159,"",NA,"",NA,"",NA,6499,12.9899997711182,83900,158.889999389648,2080,2349
"52",148989,105,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,38,"",NA,"",NA,"",NA,4282,39.2799987792969,62600,39.2799987792969,254,1100
"53",17993,53,"Not applicable",3,"Application denied by financial institution",FALSE,3,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,38,"",NA,"",NA,"",NA,5909,98.9000015258789,57400,83.4400024414062,1430,2383
"54",2663,121,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,14,"",NA,"",NA,"",NA,7351,97.8499984741211,83300,50.6699981689453,180,1171
"55",77356,704,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,512,"Collateral",4,"",NA,"",NA,2096,26.1499996185303,63200,112.180000305176,909,2407
"56",34629,243,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,25,"",NA,"",NA,"",NA,5151,2.72000002861023,55100,94.0400009155273,1782,2309
"57",135977,128,"Not applicable",3,"Loan originated",TRUE,1,"Asian",2,"",NA,"",NA,"",NA,"",NA,TRUE,"Asian",2,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,42,"",NA,"",NA,"",NA,3177,43.939998626709,78700,59.6599998474121,888,1316
"58",155640,92,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,54,"",NA,"",NA,"",NA,3080,69.5500030517578,48400,64.5,578,1402
"59",35508,67,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,63,"",NA,"",NA,"",NA,3275,9.4399995803833,74300,99.8199996948242,1099,1391
"60",32693,90,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,20,"",NA,"",NA,"",NA,2691,40.5400009155273,62100,50.4599990844727,577,1189
"61",132353,230,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,46,"Credit history",3,"",NA,"",NA,14077,12.6199998855591,76800,126.650001525879,4070,4575
"62",36767,169,"Not applicable",3,"Loan originated",TRUE,1,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,107,"",NA,"",NA,"",NA,7090,49.4599990844727,73700,100.699996948242,1636,1634
"63",164841,3,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,18,"Credit history",3,"",NA,"",NA,4810,7.03000020980835,53300,93.0100021362305,1858,2520
"64",164321,406,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,161,"",NA,"",NA,"",NA,1747,32.9099998474121,107600,142.449996948242,523,555
"65",4546,322,"Not applicable",3,"Application denied by financial institution",FALSE,3,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,120,"",NA,"",NA,"",NA,1997,9.26000022888184,74900,100.019996643066,696,899
"66",13420,35,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,140,"Credit history",3,"",NA,"",NA,2383,9.1899995803833,72000,205.119995117188,826,857
"67",162468,104,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,31,"",NA,"",NA,"",NA,6182,5.82000017166138,62100,80.1500015258789,1350,2225
"68",122524,75,"Not applicable",3,"Application denied by financial institution",FALSE,3,"Asian",2,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,34,"Debt-to-income ratio",1,"Other",9,"",NA,7818,85.4599990844727,73400,43.9199981689453,1167,1681
"69",79764,511,"Preapproval was not requested",2,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,397,"",NA,"",NA,"",NA,2604,17.2000007629395,73400,239.369995117188,727,787
"70",35099,672,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,177,"",NA,"",NA,"",NA,8571,6.30000019073486,94300,166.070007324219,2633,2637
"71",80905,269,"Not applicable",3,"Application approved but not accepted",TRUE,2,"Asian",2,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,78,"",NA,"",NA,"",NA,2432,15.0500001907349,59900,110.139999389648,846,1719
"72",120098,140,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,75,"Collateral",4,"",NA,"",NA,3296,21.1800003051758,83100,51.3899993896484,307,1223
"73",63747,187,"Preapproval was not requested",2,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,45,"",NA,"",NA,"",NA,3389,44.6399993896484,77500,103.360000610352,1037,869
"74",127991,276,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,72,"",NA,"",NA,"",NA,3473,14.4499998092651,64300,167.990005493164,1010,1110
"75",17649,156,"Not applicable",3,"Application approved but not accepted",TRUE,2,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,91,"",NA,"",NA,"",NA,3565,18.0400009155273,59800,90.4599990844727,827,1296
"76",55699,256,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,75,"",NA,"",NA,"",NA,4002,4.76999998092651,79600,101.949996948242,1031,1442
"77",141764,102,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,126,"",NA,"",NA,"",NA,4429,16.4799995422363,84400,77.6600036621094,1167,1478
"78",5140,112,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,52,"",NA,"",NA,"",NA,2596,17.1000003814697,67300,109.400001525879,724,1225
"79",153296,316,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,275,"",NA,"",NA,"",NA,4813,27.1599998474121,63200,81.0400009155273,845,4638
"80",7427,212,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,51,"",NA,"",NA,"",NA,5492,21.8500003814697,63600,112.879997253418,1361,1911
"81",66487,147,"Preapproval was requested",1,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,41,"",NA,"",NA,"",NA,4235,12.5900001525879,72400,120.569999694824,1269,1506
"82",43054,334,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,202,"",NA,"",NA,"",NA,5620,20.3400001525879,84100,190.089996337891,1672,1851
"83",106577,157,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,75,"",NA,"",NA,"",NA,1846,13.4300003051758,56000,127.610000610352,381,859
"84",157278,162,"Not applicable",3,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,52,"",NA,"",NA,"",NA,8101,6.25,71100,123.470001220703,2273,2841
"85",90404,73,"Not applicable",3,"Application denied by financial institution",FALSE,3,"White",5,"",NA,"",NA,"",NA,"",NA,TRUE,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,28,"",NA,"",NA,"",NA,4709,57,68800,75.9100036621094,1408,2116
"86",143150,153,"Preapproval was not requested",2,"Loan originated",TRUE,1,"White",5,"",NA,"",NA,"",NA,"",NA,FALSE,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,82,"",NA,"",NA,"",NA,3331,7.15000009536743,62000,86.9700012207031,906,1741
